"Gene_Symbol","Condition","Mean_Intensity","SD_Intensity","N_Replicates","CV_percent"
"ACC1","WT_YPGly_30C",6318538.60466667,906051.13410505,3,14.3395679095142
"ACC1","WT_YPGly_37C",6017592.23066667,1060885.5646489,3,17.6297350166475
"ACC1","maf1D_YPD_Glucose",2370719.57466667,288867.00625545,3,12.1847817574993
"ACC1","maf1D_YPGly_30C",5596965.03733333,966498.427948241,3,17.2682591636972
"ACC1","maf1D_YPGly_37C",7251724.80933333,1675333.52799883,3,23.1025524554186
"ACC1","rpc128_YPD_Glucose",3443323.42666667,309527.673951021,3,8.98921290849118
"ACC1","rpc128_YPGly_30C",4167473.402,359851.954967666,3,8.63477508446653
"ACH1","WT_YPD_Glucose",1052930.9072,149712.407852528,3,14.2186355086347
"ACH1","WT_YPGly_30C",7720252.79666667,1473416.34971776,3,19.0850790579543
"ACH1","WT_YPGly_37C",2905620.28066667,346657.418916528,3,11.93058230021
"ACH1","maf1D_YPD_Glucose",397161.565966667,62684.2631222289,3,15.7830637437586
"ACH1","maf1D_YPGly_30C",2514094.56266667,653658.4620764,3,25.9997564046705
"ACH1","maf1D_YPGly_37C",4534057.687,318101.137206465,3,7.01581583574733
"ACH1","rpc128_YPD_Glucose",1309354.601,58572.5619192695,3,4.47339184316728
"ACH1","rpc128_YPGly_30C",3628135.08766667,381961.636296587,3,10.5277677668346
"ACO1","WT_YPD_Glucose",3988959.493,1093002.77611065,3,27.4006988045053
"ACO1","WT_YPGly_30C",17285939.6966667,7905947.32555328,3,45.7362889393732
"ACO1","WT_YPGly_37C",7445685.13333333,1867156.55594408,3,25.0770281378817
"ACO1","maf1D_YPD_Glucose",1956307.67466667,282232.719424068,3,14.4268063290278
"ACO1","maf1D_YPGly_30C",8188265.319,2495680.27009866,3,30.4787421129075
"ACO1","maf1D_YPGly_37C",8796159.337,1130520.53034772,3,12.852433511434
"ACO1","rpc128_YPD_Glucose",4156226.49733333,848024.324017828,3,20.403708136742
"ACO1","rpc128_YPGly_30C",9959849.37666667,1035829.27907281,3,10.4000496382956
"ACO2","WT_YPD_Glucose",859128.906,73464.6385646612,3,8.55106120299265
"ACO2","WT_YPGly_30C",1290032.98233333,179742.348943427,3,13.9331591831334
"ACO2","WT_YPGly_37C",742203.534,106068.2527526,3,14.2909926851143
"ACO2","maf1D_YPD_Glucose",703823.039233333,103322.727886016,3,14.6802139353898
"ACO2","maf1D_YPGly_30C",517660.956133333,124991.764696298,3,24.1454881260359
"ACO2","maf1D_YPGly_37C",682995.5041,128094.78981071,3,18.7548510995697
"ACO2","rpc128_YPD_Glucose",1924123.91066667,75560.4683460615,3,3.92700635999485
"ACO2","rpc128_YPGly_30C",718056.045,131784.796737891,3,18.3529959333315
"ACP1","WT_YPD_Glucose",8337.84000633333,1733.15872709738,3,20.7866632818678
"ACP1","WT_YPGly_30C",54059.5599333333,60819.0815320752,3,112.503841331816
"ACP1","WT_YPGly_37C",8687.73659546667,6897.43101170711,3,79.392727161022
"ACP1","maf1D_YPD_Glucose",6404.63294633333,1766.89338273756,3,27.5877384003577
"ACP1","maf1D_YPGly_30C",10006.721523,4313.8484697342,3,43.1095085420237
"ACP1","maf1D_YPGly_37C",12111.0972763333,4721.13959572408,3,38.9819311000813
"ACP1","rpc128_YPD_Glucose",7619.01188,3592.00589917215,3,47.1452985734437
"ACP1","rpc128_YPGly_30C",14094.7349446667,6227.1723658498,3,44.1808405074415
"ACS1","WT_YPD_Glucose",840362.122733333,157226.334848424,3,18.7093552404569
"ACS1","WT_YPGly_30C",8859077.869,2137185.52861322,3,24.1242436314024
"ACS1","WT_YPGly_37C",7519475.66033333,718558.304931825,3,9.55596290739203
"ACS1","maf1D_YPD_Glucose",147350.719466667,29368.2066142925,3,19.9308199651758
"ACS1","maf1D_YPGly_30C",4470307.46233333,676384.43953634,3,15.1306022065716
"ACS1","maf1D_YPGly_37C",7469801.033,637348.318823027,3,8.53233327109192
"ACS1","rpc128_YPD_Glucose",1792296.866,289870.611072815,3,16.1731360787201
"ACS1","rpc128_YPGly_30C",17274920.3733333,1827155.93075813,3,10.5769282362577
"ACS2","WT_YPD_Glucose",683646.7024,13747.8664975633,3,2.0109606978722
"ACS2","WT_YPGly_30C",1150315.084,115966.652750959,3,10.0812946264868
"ACS2","WT_YPGly_37C",704884.383733333,117393.757859308,3,16.6543280810885
"ACS2","maf1D_YPD_Glucose",952797.463766667,118075.591927606,3,12.3925174465537
"ACS2","maf1D_YPGly_30C",451852.657866667,110737.093751671,3,24.5073458844957
"ACS2","maf1D_YPGly_37C",561134.8584,70078.4615777822,3,12.4887022306191
"ACS2","rpc128_YPD_Glucose",1274910.47,168722.39523027,3,13.2340583280542
"ACS2","rpc128_YPGly_30C",801001.282233333,116612.990837857,3,14.558402517499
